id,domain,finding,epistemic_status,epistemic_detail,source_scope,empirical_scope,analyzer_implication,corrector_implication,tutor_implication,generator_implication,promotion_status,implementation_note,oral_corpus_target,main_risk
BH2019-REF-04,referencia,"Accesibilidad, topicalidad, foco y saliencia temática están relacionadas pero no son equivalentes.",SOURCE_REPORTED_TENDENCY,author_conclusion,BH2019 §7.1,Pear_Story_narratives; seven_bilingual_adults; Juchitan,Mantener campos/conceptos separados.,No colapsar en una única regla de corrección.,Explicar diferencias conceptuales.,No usar una variable única SALIENCE para todas las decisiones.,SAFE_TO_RECORD_NOW,,Anotar sólo cuando haya evidencia.,Crear una ontología demasiado simplificada.
BH2019-COREF-01,correferencia,Las formas de tercera persona explícita y cero muestran restricciones locales de correferencia distintas en reflexivos y cláusulas dependientes/adverbiales.,SOURCE_ASSERTED_CONSTRAINT,documented_constraint_pattern,BH2019 §4.1,elicited_or_constructed_examples; Marlett_Pickett_examples; syntactic_judgments,Candidato a análisis ejecutable con alcance explícito.,Corrección sólo si la construcción y el antecedente están inequívocamente resueltos.,Explicar contraste estructural.,No usar como regla global de toda tercera persona.,READY_FOR_ADJUDICATION,cautious,Buscar confirmación contemporánea dirigida.,Sobregeneralizar condiciones de enlace.
BH2019-COREF-02,correferencia,"En cláusula principal, la elección =be/∅ puede depender de la saliencia temática relativa de participantes de tercera persona.",SOURCE_REPORTED_TENDENCY,discourse_tendency,"BH2019 §§4.2–4.3, 7.1",Pear_Story_narratives; spontaneous_conversation,"Con contexto puede proponer cadenas de referencia; sin él, dejar indeterminado.",No corregir =be/∅ por frecuencia o intuición local.,Explicar gestión de referentes.,No asignar =be=principal y ∅=secundario como regla fija.,REQUIRES_ORAL_VALIDATION,,Escenas con dos terceras personas y cambios A→B→A.,Sobreajuste a Pear Story.
BH2019-FOC-01,foco,Foco de predicado y foco de oración son consistentemente verbo-iniciales en los datos analizados.,SOURCE_REPORTED_TENDENCY,documented_generalization,"BH2019 cap. 5, §7.2",elicited_contexts; discourse_examples; spontaneous_conversation,Reconocer como patrón compatible.,No convertir orden alterno automáticamente en error.,Enseñar diferencia entre tipos de foco.,Puede usarse como default sólo con intención discursiva conocida.,REQUIRES_ORAL_VALIDATION,,Elicitación no lingüística de preguntas '¿qué pasó?' / '¿qué pasó con X?'.,Convertir consistencia del corpus en universal absoluta.
BH2019-FOC-02,foco,El foco de argumento puede ser preverbal o verbo-inicial; existe una fuerte preferencia por la posición preverbal.,SOURCE_HYPOTHESIS,documented_tendency,"BH2019 cap. 5, §7.2",elicited_contexts; discourse_examples; spontaneous_conversation,"Preverbalidad = evidencia fuerte, no condición necesaria.",No penalizar foco postverbal.,Enseñar pares de mismo evento con distinto foco.,Generator debe usar sólo patrones licenciados y contexto de foco explícito.,READY_FOR_ADJUDICATION,nonblocking_signal,Provocar foco de sujeto/objeto/adverbio.,Hacer de la preferencia un requisito.
BH2019-FOC-03,foco,No se encuentra evidencia de pitch accent directamente asociado al material focal; el orden de constituyentes cumple un papel mayor.,SOURCE_ATTESTED_PATTERN,negative_result,"BH2019 §§2.2.4, 5, 7.2",elicited_contexts; discourse_examples; spontaneous_conversation,No inferir foco a partir de acento prosódico genérico.,No corregir prosodia escrita como foco.,Evitar analogía simple con énfasis del español.,No pedir al hablante 'acentuar' una palabra como mecanismo principal.,SAFE_TO_RECORD_NOW,,Comparar prosodia en corpus oral sin buscar un marcador único.,Importar un modelo de foco del español.
BH2019-FOC-04,foco,"En ciertas construcciones de foco de argumento, nga se asocia con una lectura identificacional/exhaustiva.",SOURCE_HYPOTHESIS,construction_specific_analysis,BH2019 §5.1.4,elicited_contexts; discourse_examples; spontaneous_conversation,Desambiguar por construcción; no por token.,No corregir nga globalmente.,"Explicar uso en contexto, no traducción única.",No insertar nga por heurística de 'énfasis'.,REQUIRES_ORAL_VALIDATION,,Pares contrastivos con/sin nga provocados sin traducción.,Colapsar todos los nga en una función.
BH2019-TOP-01,tópico,"Las construcciones presentacionales, topic-comment, identificacionales, topicalizadas y desprendidas cumplen funciones distintas y pueden compartir rasgos superficiales.",SOURCE_ATTESTED_PATTERN,construction_set,BH2019 cap. 6,narrative_and_conversation; discourse_examples,Clasificar por evidencias estructurales y contexto disponible.,No corregir por orden superficial.,Enseñar diferencias por situación.,Generator sólo usa patrones concretos suficientemente respaldados.,SAFE_TO_RECORD_NOW,analytic_taxonomy,Buscar equivalentes contemporáneos en conversación.,Crear token→función o orden→función.
BH2019-TOP-02,tópico,"Un sujeto preverbal con retomación pronominal correferente puede corresponder a topicalización, no a foco de argumento.",SOURCE_ATTESTED_PATTERN,construction_pattern,BH2019 §6.1.4,narrative_and_conversation; discourse_examples,Usar resumptividad como evidencia local fuerte.,Corrección sólo con análisis inequívoco.,Explicar contraste foco/topicalización.,No generar sin licencia de construcción.,READY_FOR_ADJUDICATION,nonblocking_signal,Provocar promoción de tópico.,Tratar toda NP preverbal como foco.
BH2019-TOP-03,tópico,"Las construcciones desprendidas/la-marked pueden establecer marcos personales, temporales, espaciales o conceptuales y requieren referentes suficientemente accesibles.",SOURCE_REPORTED_TENDENCY,documented_generalization,BH2019 §§6.1.5–6.2,narrative_and_conversation; discourse_examples,Reconocer frame-setting si estructura lo permite.,No penalizar ausencia/presencia de la sólo por frame.,Enseñar marco discursivo progresivamente.,No insertar la automáticamente ante CURRENT_FRAME.,REQUIRES_ORAL_VALIDATION,,Escenas con cambio temporal/espacial/referencial.,Convertir 'la=topic marker'.
BH2019-LA-01,partícula la,"la es multifuncional: aparece en tópicos/promoción, scene-setting, cambios o fronteras tópicas, contraste y preguntas sí/no.",SOURCE_ATTESTED_PATTERN,documented_distribution,"BH2019 cap. 6, §7.3",conversation; adverbial_and_conditional_examples; polar_questions,Analizar la por construcción y entorno.,No asignar error o significado global por token.,Enseñar primero por construcción.,No tener una regla léxica única la=TOPIC.,SAFE_TO_RECORD_NOW,,Recolectar ocurrencias espontáneas por función.,Colapsar funciones en una entrada plana.
BH2019-LA-02,partícula la,Bueno Holle propone que el la final de preguntas sí/no y el la discursivo son el mismo morfema.,SOURCE_HYPOTHESIS,author_analysis_hypothesis,BH2019 §6.2,conversation; adverbial_and_conditional_examples; polar_questions,"Guardar como hipótesis de identidad morfémica, no como hecho normativo.",Sin corrección derivada.,Explicar como análisis de la fuente si procede.,No usar identidad propuesta para generar todos los usos.,REQUIRES_ORAL_VALIDATION,,Contrastar distribución y juicios de hablantes.,Promover una hipótesis histórica/funcional a regla.
BH2019-LA-03,partícula la,Bueno Holle propone como función unificadora la negociación/organización del common ground y de la interacción.,SOURCE_HYPOTHESIS,high_level_author_analysis,"BH2019 §6.2, §7.3",conversation; adverbial_and_conditional_examples; polar_questions,Puede enriquecer explicación discursiva cuando hay contexto suficiente.,Nunca corregir desde esta abstracción.,Muy útil para Tutor avanzado.,No mapear TOPIC_CHANGE→la ni COMMON_GROUND→la.,BLOCKED_FROM_EXECUTION,,Observar condiciones reales de uso y ausencia.,Convertir análisis funcional alto en automatismo.
BH2019-CONV-01,conversación,"La secuencia predicate focus→argument focus puede formar una construcción quiástica en dos IUs, prolongar el turno y contribuir a su cierre.",SOURCE_ATTESTED_PATTERN,conversational_pattern,"BH2019 §5.2, §7.2",spontaneous_conversation; paired_intonation_units,Detectable sólo si se proporciona contexto; análisis local sigue funcionando sin él.,No corregir repeticiones por redundancia.,Enseñar reformulación/gestión de turno.,No usar como plantilla obligatoria de cierre.,REQUIRES_ORAL_VALIDATION,,Conversaciones libres con reformulación y cierre de turno.,Eliminar repeticiones discursivamente funcionales.
BH2019-GEN-01,generación,"Una misma proposición puede requerir empaquetamientos distintos según common ground, presuposición, foco, tópico y estado referencial.",PROJECT_DERIVATION,project_derivation_from_bh2019,Síntesis del estudio,project_derivation_from_multiple_BH2019_findings,Analyzer debe separar contenido local de lectura pragmática opcional.,Sin efecto correctivo directo.,Tutor puede explicar alternativas contextuales.,"Generator debería admitir contexto discursivo opcional, nunca obligatorio.",SAFE_TO_RECORD_NOW,interface_only,Probar generación con y sin contexto; degradación elegante.,Convertir contexto en candado.
BH2019-PED-01,pedagogía,"La progresión debe enseñar operaciones discursivas (introducir, mantener, reintroducir, focalizar, topicalizar, contrastar) además de estructuras de frase.",PROJECT_DERIVATION,pedagogical_derivation,Derivado de caps. 3–6,project_derivation_from_multiple_BH2019_findings,Sin cambio obligatorio de Analyzer.,Sin cambio correctivo.,Base para secuencia pedagógica.,No reestructurar P1–P5 hasta completar contraste.,BACKLOG_ONLY,,Diseñar pares mínimos pragmáticos y escenas controladas.,Sobrecargar nivel principiante.
BH2019-OPEN-01,hueco,El uso del enclítico de objeto inanimado en funciones tópicas aparece como observación informal/inconsistente y el autor pide más investigación.,SOURCE_HYPOTHESIS,explicit_open_question,BH2019 §7.1,author_stated_limit_or_open_question,"Registrar como hueco, no regla.",No corregir.,Puede mencionarse como área abierta.,No generar con base en esta observación.,REQUIRES_ORAL_VALIDATION,,Buscar ocurrencias espontáneas y juicios dirigidos.,Promover observación anecdótica.
BH2019-OPEN-02,hueco,"La extensión de varios patrones a otros géneros, hablantes y contextos requiere más evidencia natural.",SOURCE_ATTESTED_PATTERN,explicit_limitation,BH2019 metodología/conclusiones,author_stated_limit_or_open_question,Conservar variedad/género/speaker provenance.,No usar frecuencia de un género como norma general.,Explicar límites de evidencia.,No generalizar frecuencias de narrativa a conversación.,SAFE_TO_RECORD_NOW,,Diversificar corpus oral por situación y hablante.,Sobreajuste a género y muestra.
