cell_id,candidate_id,entry_id,headword_observed,sense_es,verb_class,tam,person,status,surface_observed,evidence_id,evidence_type,source_id,source_locator,source_context,dialect_scope,subject_realization,orthography_status,license_effect,notes
NC001-V02-COMPLETIVE-2SG,NC001-V02,e7,re',"Beber, tomar, ingerir, absorber.",C,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V02-COMPLETIVE-3SG_HUMAN,NC001-V02,e7,re',"Beber, tomar, ingerir, absorber.",C,COMPLETIVE,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V03-HABITUAL-1SG,NC001-V03,asi,rasi,Dormirse.,C,HABITUAL,1SG,ATTESTED,rasé',EVID-GP-ASI-H-1SG-001,DIRECT_PERSON_CONTRAST_EXAMPLE,BIB004_GRAMATICA_POPULAR,"GP §3.2.2 consonantes fuertes, ejemplos rasé' / rasi",rasé' ‘duermo’; rasi ‘él duerme’,JUCHITAN_EXPLICIT,1SG_SURFACE_DIRECTLY_GLOSSED,SOURCE_EXACT_RENDERING,PARADIGM_CELL_ATTESTED_FOR_ANALYSIS_AND_LICENSE_GATES,Direct Juchitán person contrast in GP: rasé' = ‘duermo’ vs rasi = ‘él duerme’. Only 1SG is materialized in this hito; 3SG remains untouched to avoid unnecessary expansion.
NC001-V03-HABITUAL-2SG,NC001-V03,asi,rasi,Dormirse.,C,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V03-HABITUAL-3SG_HUMAN,NC001-V03,asi,rasi,Dormirse.,C,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V03-COMPLETIVE-1SG,NC001-V03,asi,rasi,Dormirse.,C,COMPLETIVE,1SG,ATTESTED,gu'ze',EA-NC001-V03-COMPLETIVE-1SG-VICENTE-20260830,DIRECT_SPEAKER_ATTESTATION,FIELDWORK_VICENTE_GUTIERREZ_2026-08-30,"Vicente Gutiérrez, direct elicitation: ¿Cómo dices “me dormí”?, 2026-08-30",gu'ze',JUCHITAN_FIELDWORK_CORPUS_EXPLICIT,1SG_SURFACE_DIRECTLY_GLOSSED,SPEAKER_SURFACE_PRESERVED_EXACTLY,PARADIGM_CELL_ATTESTED_FOR_ANALYSIS; JUCHITAN_TARGET_GENERATION_CELL_LOCALITY_RESOLVED,Direct response to Spanish prompt ‘me dormí’; exact speaker surface gu'ze'. No whole Ma' + predicate phrase was elicited or validated. Dictionaria comparison is corroborative only and is not used to normalize the speaker form.
NC001-V03-COMPLETIVE-2SG,NC001-V03,asi,rasi,Dormirse.,C,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V03-COMPLETIVE-3SG_HUMAN,NC001-V03,asi,rasi,Dormirse.,C,COMPLETIVE,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V04-HABITUAL-1SG,NC001-V04,apa-2,rapà,Tener.,C,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V04-HABITUAL-2SG,NC001-V04,apa-2,rapà,Tener.,C,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V04-HABITUAL-3SG_HUMAN,NC001-V04,apa-2,rapà,Tener.,C,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V04-COMPLETIVE-1SG,NC001-V04,apa-2,rapà,Tener.,C,COMPLETIVE,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V04-COMPLETIVE-2SG,NC001-V04,apa-2,rapà,Tener.,C,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V04-COMPLETIVE-3SG_HUMAN,NC001-V04,apa-2,rapà,Tener.,C,COMPLETIVE,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V05-HABITUAL-1SG,NC001-V05,akala7dxi,racala'dxi',"Querer, desear.",C,HABITUAL,1SG,ATTESTED,racala'dxe',EVID-GP-AKALA-H-1SG-001,DIRECT_MORPHOLOGICALLY_GLOSSED_EXAMPLE,BIB004_GRAMATICA_POPULAR,"§14.2.3, ej. (158b)",racala'dxe' ti palasiu… — H-suceder-hígado-1SG — ‘quiero un palacio…’,JUCHITAN_EXPLICIT,1SG_FUSED_SURFACE,SOURCE_EXACT_RENDERING,PARADIGM_CELL_ATTESTED; C06_FREE_GENERATION_STILL_BLOCKED_DEPENDENT_POTENTIAL_OUT_OF_SCOPE,Direct cell evidence materialized; this is not by itself a GenerationLicense.
NC001-V05-HABITUAL-2SG,NC001-V05,akala7dxi,racala'dxi',"Querer, desear.",C,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V05-HABITUAL-3SG_HUMAN,NC001-V05,akala7dxi,racala'dxi',"Querer, desear.",C,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V05-COMPLETIVE-1SG,NC001-V05,akala7dxi,racala'dxi',"Querer, desear.",C,COMPLETIVE,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V05-COMPLETIVE-2SG,NC001-V05,akala7dxi,racala'dxi',"Querer, desear.",C,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V05-COMPLETIVE-3SG_HUMAN,NC001-V05,akala7dxi,racala'dxi',"Querer, desear.",C,COMPLETIVE,3SG_HUMAN,ATTESTED,gucala'dxi',EVID-GP-AKALA-C-3SG-001,DIRECT_MORPHOLOGICALLY_ANALYZED_TEXT_EXAMPLE,BIB004_GRAMATICA_POPULAR,"§15.2, ej. (188); JLC-TEXT-024",ti xudxi gucala'dxi' nidi'di' guiigu' — C-querer I-pasar río — ‘un borracho quiso atravesar el río’,JUCHITAN_EXPLICIT,FULL_NP_HUMAN_ZERO_DEPENDENT_PRONOUN,SOURCE_EXACT_RENDERING,PARADIGM_CELL_ATTESTED; C06_FREE_GENERATION_STILL_BLOCKED_DEPENDENT_POTENTIAL_OUT_OF_SCOPE,Direct cell evidence materialized; this is not by itself a GenerationLicense.
NC001-V06-HABITUAL-1SG,NC001-V06,anna1,rannà,"Saber, conocer, aprender, tener información.",C,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V06-HABITUAL-2SG,NC001-V06,anna1,rannà,"Saber, conocer, aprender, tener información.",C,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V06-HABITUAL-3SG_HUMAN,NC001-V06,anna1,rannà,"Saber, conocer, aprender, tener información.",C,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V06-COMPLETIVE-1SG,NC001-V06,anna1,rannà,"Saber, conocer, aprender, tener información.",C,COMPLETIVE,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V06-COMPLETIVE-2SG,NC001-V06,anna1,rannà,"Saber, conocer, aprender, tener información.",C,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V06-COMPLETIVE-3SG_HUMAN,NC001-V06,anna1,rannà,"Saber, conocer, aprender, tener información.",C,COMPLETIVE,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V07-HABITUAL-1SG,NC001-V07,dxiichi,ridxiichì',Enojarse.,A,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V07-HABITUAL-2SG,NC001-V07,dxiichi,ridxiichì',Enojarse.,A,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V07-HABITUAL-3SG_HUMAN,NC001-V07,dxiichi,ridxiichì',Enojarse.,A,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V07-COMPLETIVE-1SG,NC001-V07,dxiichi,ridxiichì',Enojarse.,A,COMPLETIVE,1SG,ATTESTED,bidxi'cheé,EA-NC001-V07-COMPLETIVE-1SG-VICENTE-CLEAN-20260829,DIRECT_SPEAKER_ATTESTATION,FIELDWORK_VICENTE_GUTIERREZ_2026-08-29,"Vicente Gutiérrez, direct elicitation + clarification of WhatsApp auto-capitalization, 2026-08-29",bidxi'cheé,JUCHITAN_FIELDWORK_CORPUS_EXPLICIT,1SG_SURFACE_DIRECTLY_GLOSSED,SPEAKER_SURFACE_PRESERVED_LINGUISTICALLY,PARADIGM_CELL_ATTESTED_FOR_ANALYSIS; JUCHITAN_TARGET_GENERATION_CELL_LOCALITY_RESOLVED,Lowercase is the stored linguistic form; original WhatsApp initial capital was platform auto-capitalization; no whole Ma' + predicate phrase was elicited or validated.
NC001-V07-COMPLETIVE-2SG,NC001-V07,dxiichi,ridxiichì',Enojarse.,A,COMPLETIVE,2SG,ATTESTED,bidxi'chú,EA-NC001-V07-COMPLETIVE-2SG-VICENTE-CLEAN-20260829,DIRECT_SPEAKER_ATTESTATION,FIELDWORK_VICENTE_GUTIERREZ_2026-08-29,"Vicente Gutiérrez, direct elicitation + clarification of WhatsApp auto-capitalization, 2026-08-29",bidxi'chú,JUCHITAN_FIELDWORK_CORPUS_EXPLICIT,2SG_SURFACE_DIRECTLY_GLOSSED,SPEAKER_SURFACE_PRESERVED_LINGUISTICALLY,PARADIGM_CELL_ATTESTED_FOR_ANALYSIS; JUCHITAN_TARGET_GENERATION_CELL_LOCALITY_RESOLVED,Lowercase is the stored linguistic form; original WhatsApp initial capital was platform auto-capitalization; no whole Ma' + predicate phrase was elicited or validated.
NC001-V07-COMPLETIVE-3SG_HUMAN,NC001-V07,dxiichi,ridxiichì',Enojarse.,A,COMPLETIVE,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V08-HABITUAL-1SG,NC001-V08,dxaaga,ridxaagà',"Acompañarse, juntarse con alguien, ir con alguien.",A,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V08-HABITUAL-2SG,NC001-V08,dxaaga,ridxaagà',"Acompañarse, juntarse con alguien, ir con alguien.",A,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V08-HABITUAL-3SG_HUMAN,NC001-V08,dxaaga,ridxaagà',"Acompañarse, juntarse con alguien, ir con alguien.",A,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V08-COMPLETIVE-1SG,NC001-V08,dxaaga,ridxaagà',"Acompañarse, juntarse con alguien, ir con alguien.",A,COMPLETIVE,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V08-COMPLETIVE-2SG,NC001-V08,dxaaga,ridxaagà',"Acompañarse, juntarse con alguien, ir con alguien.",A,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V08-COMPLETIVE-3SG_HUMAN,NC001-V08,dxaaga,ridxaagà',"Acompañarse, juntarse con alguien, ir con alguien.",A,COMPLETIVE,3SG_HUMAN,ATTESTED,bídxaagabé,EVID-BH-DXAAGA-C-3SG-001,DIRECT_AUDIO_CORPUS_TRANSCRIPTION_WITH_MORPH_GLOSS,BIB065_BUENO_HOLLE_2019,"Information structure…, Appendix A / Pear Stories line 17; topic discussion ex. (18)",bídxaagabé ti badudxaapahuiini — bi-dxaaga=be — compl-cross/encounter-3sg — ‘suddenly he encountered a little girl’,JUCHITAN_FIELDWORK_CORPUS_EXPLICIT,DEPENDENT_3HUM_BE,SOURCE_TRANSCRIPTION_WITH_TONE_DIACRITICS,PARADIGM_CELL_ATTESTED; GENERATION_PENDING_VALENCY+ORTHOGRAPHIC_PROFILE,Direct cell evidence materialized; this is not by itself a GenerationLicense.
NC001-V09-HABITUAL-1SG,NC001-V09,dxinya,ridxiña,Dirigirse a/hacia.,A,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V09-HABITUAL-2SG,NC001-V09,dxinya,ridxiña,Dirigirse a/hacia.,A,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V09-HABITUAL-3SG_HUMAN,NC001-V09,dxinya,ridxiña,Dirigirse a/hacia.,A,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V09-COMPLETIVE-1SG,NC001-V09,dxinya,ridxiña,Dirigirse a/hacia.,A,COMPLETIVE,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V09-COMPLETIVE-2SG,NC001-V09,dxinya,ridxiña,Dirigirse a/hacia.,A,COMPLETIVE,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V09-COMPLETIVE-3SG_HUMAN,NC001-V09,dxinya,ridxiña,Dirigirse a/hacia.,A,COMPLETIVE,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V10-HABITUAL-1SG,NC001-V10,ga7na,riga'na,"Tocar, tentar, palpar, manosear.",D,HABITUAL,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V10-HABITUAL-2SG,NC001-V10,ga7na,riga'na,"Tocar, tentar, palpar, manosear.",D,HABITUAL,2SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V10-HABITUAL-3SG_HUMAN,NC001-V10,ga7na,riga'na,"Tocar, tentar, palpar, manosear.",D,HABITUAL,3SG_HUMAN,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
NC001-V10-COMPLETIVE-1SG,NC001-V10,ga7na,riga'na,"Tocar, tentar, palpar, manosear.",D,COMPLETIVE,1SG,UNATTESTED,,,NO_DIRECT_CELL_EVIDENCE_MATERIALIZED_IN_CURRENT_PASS,,,,JUCHITAN_TARGET,,,ABSTAIN(NO_DIRECT_CELL_ATTESTATION_MATERIALIZED),Not materialized in this source pass; not a claim of language-wide absence.
