alignment_id,surface_raw,analysis_type,analysis_value,source_id,source_location,dialect_scope,status,semantic_note
GP-P1G-02,stiidxa',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1G-03,riene',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1G-04,xqueere',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1G-05,xpihue',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1G-06,staane',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1G-07,xpegua',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-P1G-08,xpicua',PERSON,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-001-a,xhamígube,POSSESSION,POS_X_PREFIX,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-001-b,xhamigu Ana,POSSESSION,POS_X_PREFIX_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-001-c,xhamiga gunaa ca,POSSESSION,POS_X_PREFIX_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-001-d,xtanguyube,POSSESSION,POS_X_PREFIX,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-001-e,xtanguyú Ana,POSSESSION,POS_X_PREFIX_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-002-a,xpérebe,POSSESSION,POS_FORTITION_B_P,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-002-b,xtoobe,POSSESSION,POS_FORTITION_D_T,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-002-c,xquétabe,POSSESSION,POS_FORTITION_G_K,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-003-a,xhinbe,POSSESSION,POS_CH_XH,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-003-b,xhiiñabe,POSSESSION,POS_DX_XH,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-003-c,sídibe,POSSESSION,POS_Z_S,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-003-d,saabe,POSSESSION,POS_S_S,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-003-e,xtiibe,POSSESSION,POS_R_XT,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-004-a,xtaanibe,POSSESSION,POS_BI_LOSS,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-004-b,suudibe,POSSESSION,POS_BI_LOSS,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-005-a,ñeebe,POSSESSION,ALWAYS_POSSESSED,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-005-b,bixhozebe,POSSESSION,ALWAYS_POSSESSED,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-005-c,lidxi Juana,POSSESSION,ALWAYS_POSSESSED_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-006-a,xpixuaanabe,POSSESSION,LEXICAL_X,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-006-b,xheela',POSSESSION,LEXICAL_X,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-007-a,íquebe,POSSESSION,DEPENDENT_PERSON,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-007-b,xpi'cuhuiinibe,POSSESSION,DEPENDENT_PERSON,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-007-c,bixhózelu',POSSESSION,DEPENDENT_PERSON,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-009-a,tou' xtibe,POSSESSION,XTI_DEPENDENT,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-009-b,tou' xti' Ana,POSSESSION,XTI_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-009-c,bi'cu' xti' bixhoze',POSSESSION,XTI_CHAIN,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-009-d,bere xti' jñaa Ana,POSSESSION,XTI_COMPLEX_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-1,xtinne',POSSESSION,XTI_1SG,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-2a,xtilu',POSSESSION,XTI_2SG,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-2b,xtiu',POSSESSION,XTI_2SG,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-3p,xtibe,POSSESSION,XTI_3SG_PERSON,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-3a,xtime,POSSESSION,XTI_3SG_ANIMAL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-3t,xtini,POSSESSION,XTI_3SG_THING,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-1pe,xtidu,POSSESSION,XTI_1PL_EXCL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-1pi,xtinu,POSSESSION,XTI_1PL_INCL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-2p,xtitu,POSSESSION,XTI_2PL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-3pp,xtícabe,POSSESSION,XTI_3PL_PERSON,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-3pa,xtícame,POSSESSION,XTI_3PL_ANIMAL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-010-3pt,xtícani,POSSESSION,XTI_3PL_THING,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3 / §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-DER-001-a,guendaró,DERIVATION,GUENDA_NOMINALIZATION,BIB004_GRAMATICA_POPULAR,§4.3,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-DER-001-b,guendaré',DERIVATION,GUENDA_NOMINALIZATION,BIB004_GRAMATICA_POPULAR,§4.3,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-DER-001-c,guendaroxhi,DERIVATION,GUENDA_NOMINALIZATION,BIB004_GRAMATICA_POPULAR,§4.3,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-DER-001-d,guendaribana',DERIVATION,GUENDA_NOMINALIZATION,BIB004_GRAMATICA_POPULAR,§4.3,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-DER-001-e,guendariba'na',DERIVATION,GUENDA_NOMINALIZATION,BIB004_GRAMATICA_POPULAR,§4.3,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-DER-001-f,guendaratinisa,DERIVATION,GUENDA_NOMINALIZATION,BIB004_GRAMATICA_POPULAR,§4.3,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-DER-001-g,guendarati,DERIVATION,GUENDA_NOMINALIZATION,BIB004_GRAMATICA_POPULAR,§4.3,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-001,riree,TAM,HABITUAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-002,richesa,TAM,HABITUAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-003,rizá,TAM,HABITUAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-004,rucaa,TAM,HABITUAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-005,biree,TAM,COMPLETIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-006,guchesa,TAM,COMPLETIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-007,guzá,TAM,COMPLETIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-008,bicaa,TAM,COMPLETIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-009,caree,TAM,PROGRESSIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-010,cachesa,TAM,PROGRESSIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-011,cazá,TAM,PROGRESSIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-012,cucaa,TAM,PROGRESSIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-013,cayene,TAM,PROGRESSIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-014,cayé',TAM,PROGRESSIVE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-015,guiree,TAM,POTENTIAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-016,guichesa,TAM,POTENTIAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-017,sa',TAM,POTENTIAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-018,gucaa,TAM,POTENTIAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-019,gue',TAM,POTENTIAL,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-020,niree,TAM,IRREALIZED,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-021,nichesa,TAM,IRREALIZED,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-022,nizá,TAM,IRREALIZED,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-023,nucaa,TAM,IRREALIZED,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-024,ñene,TAM,IRREALIZED,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-025,huaree,TAM,PERFECT,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-026,huachesa,TAM,PERFECT,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-027,huazá,TAM,PERFECT,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-028,huacaa,TAM,PERFECT,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-029,huayene,TAM,PERFECT,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-030,huayé',TAM,PERFECT,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-031,zaree,TAM,FUTURE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-032,zachesa,TAM,FUTURE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-033,zazá,TAM,FUTURE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-034,zucaa,TAM,FUTURE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-035,ziene,TAM,FUTURE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-VERB-036,ze',TAM,FUTURE,BIB004_GRAMATICA_POPULAR,§7.1–7.2 paradigms,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-CO,co',NEGATION,AUTONOMOUS_NO,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-CARU,ca'ru',NEGATION,NOT_YET,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-QUE,qué,NEGATION,VERBAL_NEGATIVE,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-CADI,cadi,NEGATION,PHRASE_FOCUS_NEGATIVE,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-DI,di',NEGATION,DEPENDENT_NEGATIVE,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-PRON-P,guiruti',NEGATION,NEG_PRONOUN_PERSON,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-PRON-C,gasti',NEGATION,NEG_PRONOUN_THING,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-EX-001,Ca'ru' gú'yabe ni,NEG_CONSTRUCTION,NOT_YET_PLUS_POTENTIAL,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-EX-002,ca'ru' guiasa Linu,NEG_CONSTRUCTION,NOT_YET_PLUS_POTENTIAL,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-EX-003,Qué gápabe ni,NEG_CONSTRUCTION,QUE_PLUS_POTENTIAL_LEXICAL,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-EX-004,Qué gannabe ni,NEG_CONSTRUCTION,QUE_PLUS_POTENTIAL_LEXICAL,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-EX-005,Cadi cayénebe,NEG_CONSTRUCTION,CADI_PROGRESSIVE,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-EX-006,Cadi gúnilu' nga,NEG_CONSTRUCTION,CADI_POTENTIAL,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-NEG-EX-007,Cadi naró'bani,NEG_CONSTRUCTION,CADI_STATIVE,BIB004_GRAMATICA_POPULAR,§7.2.5–8.5,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
PIC-APV-001,Riene lu didxazá la?,FREQUENT_PHRASE,UNDERSTAND_ZAPOTEC_Q,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-002,Riniú' didxazá la?,FREQUENT_PHRASE,SPEAK_ZAPOTEC_Q,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-003,Qué riene didxazá.,FREQUENT_PHRASE,NEG_UNDERSTAND_ZAPOTEC,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
PIC-APV-004,Qué rinié didxazá.,FREQUENT_PHRASE,NEG_SPEAK_ZAPOTEC,BIB055_PICKETT_VOCABULARIO,"Apéndice V, pp.123–124+",JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,Exact frequent phrase documented in Vocabulario.
